rank,prev,name,control,war2016,sal2016,war2017,sal2017,war2018,sal2018,war2019,sal2019,war2020,sal2020,warTotal,salTotal
1,1,Mike Trout,2020,9.55259587,15250000,9.511794908,19250000,9.30431315,33250000,9.344359,33250000,9.264986021,33250000,46.97804895,250000000
2,2,Bryce Harper,2018,6.05906503,5000000,6.530732885,Arb2,6.482844822,Arb3,6.55088908,,6.711157664,,32.33468948,300000000
3,5,Paul Goldschmidt,2019,5.29542215,5750000,5.108316673,8750000,5.019191773,11000000,4.552863681,14500000,3.892449386,,23.86824366,40000000
4,6,Kris Bryant,2021,4.434226281,Pre-Arb,4.589511534,Pre-Arb,4.525760256,Arb1,4.72819689,Arb2,4.678404868,Arb3,22.95609983,50000000
5,7,Carlos Correa,2021,3.874325354,Pre-Arb,4.495319203,Pre-Arb,5.401486512,Arb1,5.783867676,Arb2,5.90243995,Arb3,25.45743869,56000000
6,10,Anthony Rizzo,2021,4.671408546,5000000,4.775906001,7000000,4.453608182,7000000,4.445824407,11000000,4.2054658,14500000,22.55221294,43000000
7,3,Manny Machado,2018,6.330285177,Arb1,6.76402648,Arb2,7.01160814,Arb3,6.968190407,,7.153000432,,34.22711064,
8,,Andrew McCutchen,2018,6.220274644,13000000,6.021720926,14000000,5.883054436,14500000,5.47212348,,4.813021302,,28.41019479,
9,,Nolan Arenado,2019,4.620500241,Arb1,4.885167055,Arb2,4.948037698,Arb3,4.859353617,Arb4,4.675448769,,23.98850738,
10,,Chris Archer,2021,4.287682579,2750000,4.409699054,4750000,4.287907341,6250000,4.113634775,7500000,3.833040373,9000000,20.93196412,
11,,Chris Sale,2019,6.042603347,9150000,6.204412709,12000000,6.065798169,12500000,5.507974894,13500000,5.345875328,,29.16666445,
12,,Corey Kluber,2021,5.150024776,4500000,4.793608473,7500000,4.435196474,10500000,4.003192087,13000000,3.640453342,13500000,22.02247515,
13,,Madison Bumgarner,2019,4.648300535,9750000,4.635790561,11500000,4.562065905,12000000,4.24841217,12000000,4.175991195,,22.27056037,
14,,Mookie Betts,2020,5.031900833,Pre-Arb,5.254760962,Pre-Arb,5.477570025,Arb1,5.481636629,Arb2,5.415019939,Arb3,26.66088839,
15,,Joc Pederson,2020,4.337268103,Pre-Arb,4.264402491,Pre-Arb,4.347328512,Arb1,4.520228705,Arb2,4.441865526,Arb3,21.91109334,
16,,Jose Abreu,2019,3.054110118,10000000,3.169476126,10500000,2.837589893,11500000,2.318742333,12000000,1.718734152,,13.09865262,
17,,Yasiel Puig,2019,4.648416724,5500000,4.644082538,6500000,4.533354881,7500000,4.31168848,Arb3,4.252863163,,22.39040579,
18,,Buster Posey,2022,6.179931459,20000000,5.883574348,21400000,5.516297956,21400000,4.920778281,21400000,4.346865004,21400000,26.84744705,
19,,Gerrit Cole,2019,4.120603521,Pre-Arb,4.481791584,Arb1,4.388723943,Arb2,4.199108976,Arb3,4.154491259,,21.34471928,
20,,Sonny Gray,2019,4.722100834,Pre-Arb,4.807095858,Arb1,4.834199136,Arb2,4.562419619,Arb3,4.337486735,,23.26330218,
21,,Jacob deGrom,2020,3.882298493,Pre-Arb,3.901820057,Pre-Arb,3.782318772,Arb1,3.543494125,Arb2,3.312023717,Arb3,18.42195517,
22,,Noah Syndergaard,2021,3.107576069,Pre-Arb,3.362500476,Pre-Arb,3.509373667,Arb1,3.430823454,Arb2,3.38857401,Arb3,16.79884768,
23,,Josh Donaldson,2018,6.218270102,Arb2,5.963465869,Arb3,5.423280866,Arb4,4.941016486,,4.359021555,,26.90505488,
24,,Jose Fernandez,2018,3.776497587,Arb1,4.162844415,Arb2,4.329644733,Arb3,4.065034309,,4.063618041,,20.39763908,
25,,Matt Harvey,2018,4.166719609,Arb1,4.223496252,Arb2,4.14181922,Arb3,3.814816736,,3.648146345,,19.99499816,
26,,Giancarlo Stanton,2028,5.456024785,9000000,5.432175271,14500000,5.273105982,25000000,5.113789932,26000000,4.854436373,26000000,26.12953234,
27,,Xander Bogaerts,2019,3.662938863,Pre-Arb,3.829387727,Arb1,4.099442129,Arb2,4.244737128,Arb3,4.276809351,,20.1133152,
28,,Andrelton Simmons,2020,3.626692726,6000000,3.786930473,8000000,3.403320007,11000000,3.401532863,13000000,3.314409795,15000000,17.53288586,
29,,Freddie Freeman,2021,3.579828582,12000000,3.377859499,17000000,3.380680644,21000000,3.271832252,21000000,2.986263003,22000000,16.59646398,
