Player,2016,2017,2018,2019,2020,Total
Mike Trout,9.6,9.5,9.3,9.3,9.3,47.0
Manny Machado,6.3,6.8,7.0,7.0,7.2,34.2
Bryce Harper,6.1,6.5,6.5,6.6,6.7,32.3
Chris Sale,6.0,6.2,6.1,5.5,5.3,29.16666445
Andrew McCutchen,6.2,6.0,5.9,5.5,4.8,28.4
Josh Donaldson,6.2,6.0,5.4,4.9,4.4,26.9
Buster Posey,6.2,5.9,5.5,4.9,4.3,26.8
Mookie Betts,5.0,5.3,5.5,5.5,5.4,26.7
Giancarlo Stanton,5.5,5.4,5.3,5.1,4.9,26.1
Felix Hernandez,5.6,5.6,5.4,5.0,4.5,26.0
Carlos Correa,3.9,4.5,5.4,5.8,5.9,25.5
Anthony Rendon,5.2,5.1,4.9,4.6,4.5,24.2
Nolan Arenado,4.6,4.9,4.9,4.9,4.7,24.0
Paul Goldschmidt,5.3,5.1,5.0,4.6,3.9,23.9
Sonny Gray,4.7,4.8,4.8,4.6,4.3,23.3
Kris Bryant,4.4,4.6,4.5,4.7,4.7,23.0
Anthony Rizzo,4.7,4.8,4.5,4.4,4.2,22.6
Yasiel Puig,4.6,4.6,4.5,4.3,4.3,22.4
Madison Bumgarner,4.6,4.6,4.6,4.2,4.2,22.3
Corey Kluber,5.2,4.8,4.4,4.0,3.6,22.0
Addison Russell,2.8,3.8,4.6,5.2,5.6,22.0
Joc Pederson,4.3,4.3,4.3,4.5,4.4,21.9
Gerrit Cole,4.1,4.5,4.4,4.2,4.2,21.3
Chris Archer,4.3,4.4,4.3,4.1,3.8,20.9
Jose Fernandez,3.8,4.2,4.3,4.1,4.1,20.4
Corey Seager,3.1,4.0,4.2,4.3,4.7,20.3
Xander Bogaerts,3.7,3.8,4.1,4.2,4.3,20.1
Matt Harvey,4.2,4.2,4.1,3.8,3.6,20.0
Christian Yelich,3.8,4.0,4.1,4.0,3.8,19.6
Jose Quintana,4.0,3.9,4.0,3.7,3.6,19.2
Troy Tulowitzki,4.7,4.1,3.7,3.2,2.8,18.4
Jacob deGrom,3.9,3.9,3.8,3.5,3.3,18.4
Jonathan Lucroy,4.3,4.0,3.7,3.4,2.9,18.2
Todd Frazier,4.6,4.1,3.6,3.1,2.8,18.2
Julio Teheran,3.5,3.7,3.7,3.5,3.6,18.0
Starling Marte,4.0,3.5,3.6,3.6,3.3,17.9
Yordano Ventura,3.1,3.6,4.0,3.6,3.7,17.9
Jose Altuve,3.9,3.6,3.4,3.5,3.3,17.8
Michael Wacha,3.4,3.7,3.7,3.5,3.5,17.7
Yan Gomes,3.8,3.7,3.6,3.4,3.2,17.7
Byron Buxton,2.7,3.2,3.7,4.0,3.9,17.6
Andrelton Simmons,3.6,3.8,3.4,3.4,3.3,17.5
Dallas Keuchel,3.8,3.6,3.6,3.3,3.0,17.3
Carlos Martinez,2.9,3.5,3.9,3.5,3.6,17.3
Salvador Perez,3.5,3.5,3.5,3.4,3.2,17.1
Garrett Richards,3.5,3.5,3.7,3.3,3.1,17.1
Jason Kipnis,3.9,3.8,3.4,3.1,2.7,16.8
Noah Syndergaard,3.1,3.4,3.5,3.4,3.4,16.8
Freddie Freeman,3.6,3.4,3.4,3.3,3.0,16.6
A.J. Pollock,3.6,3.4,3.4,3.1,2.8,16.3
Adam Jones,4.1,3.7,3.1,2.6,2.2,15.8
Lorenzo Cain,3.5,3.2,3.1,2.9,2.6,15.2
J.D. Martinez,3.2,3.3,3.1,2.9,2.3,14.9
Joe Panik,2.7,2.9,3.1,3.0,2.9,14.5
Evan Longoria,3.8,3.5,2.9,2.4,1.9,14.5
Brandon Crawford,3.2,3.3,2.9,2.7,2.2,14.3
Jake Arrieta,3.1,3.1,2.8,2.6,2.2,13.8
Brian Dozier,3.3,3.2,2.9,2.4,1.9,13.8
Matt Carpenter,3.3,3.0,2.8,2.3,2.0,13.5
Jose Abreu,3.1,3.2,2.8,2.3,1.7,13.1
Jorge Soler,2.4,2.4,2.6,2.6,2.6,12.6
Michael Brantley,2.9,2.9,2.6,2.2,1.7,12.3
Dustin Pedroia,3.4,3.1,2.5,2.1,1.3,12.3
Michael Pineda,2.4,2.4,2.3,2.2,2.0,11.2
